2NE1	Q171885
Joan Ganz Cooney	Q6205061
Alice Cooper	Q332032
Anderson Cooper	Q316997
Anna J. Cooper	Q977118
Bradley Cooper	Q205707
D. B. Cooper	Q348970
Gary Cooper	Q93957
Giles Cooper (playwright)	Q5561624
Gordon Cooper	Q312833
Jackie Cooper	Q372073
James Fenimore Cooper	Q167856
Leon Cooper	Q82563
Tommy Cooper	Q612027
William Cooper (Aboriginal Australian)	Q2578317
Matija Čop	Q2441000
Misty Copeland	Q16204558
John Singleton Copley	Q316016
David Copperfield (illusionist)	Q139637
Fausto Coppi	Q219912
Sofia Coppola	Q193628
James J. Corbett	Q455494
Jim Corbett	Q468312
Ronnie Corbett	Q756377
Tristan Corbière	Q316536
Myrtle Corbin	Q1320616
Charlotte Corday	Q216063
James Corden	Q767499
León Febres Cordero	Q471324
Chick Corea	Q192465
Arcangelo Corelli	Q164475
Franco Corelli	Q313831
Gerty Cori	Q204733
Gaspard-Gustave de Coriolis	Q202827
Daoud Corm	Q16466728
Roger Corman	Q318292
Pierre Corneille	Q747
Eric Allin Cornell	Q205954
Ezra Cornell	Q2984610
Katharine Cornell	Q272086
Paul Cornu	Q45157
Charles Cornwallis, 1st Marquess Cornwallis	Q164723
Patricia Cornwell	Q231467
Jean-Baptiste-Camille Corot	Q148475
Rafael Correa	Q19581
Antonio da Correggio	Q8457
Raimundo Correia	Q1338991
Pieter Cort van der Linden	Q1397415
Julio Cortázar	Q174210
Gaspar Corte-Real	Q374424
Joaquín Cortés	Q560978
Alfred Cortot	Q116057
Howard Cosell	Q1472983
Cosmas Indicopleustes	Q355633
Cosmas of Maiuma	Q2496948
Aulus Cornelius Cossus	Q772631
Lúcio Costa	Q298926
Bob Costas	Q2458861
Frank Costello	Q450529
Lou Costello	Q23884
Kevin Costner	Q11930
Marion Cotillard	Q8927
Charles Cotton	Q2958807
François Coty	Q1332383
René Coty	Q158768
Richard von Coudenhove-Kalergi	Q78525
Émile Coué	Q275040
Charles Coughlin	Q181249
Natalie Coughlin	Q229937
Charles-Augustin de Coulomb	Q81716
Ann Coulter	Q266611
François Couperin	Q50186
Katie Couric	Q230739
Victor Cousin	Q434346
Robin Cousins	Q2159796
Edmond de Coussemaker	Q1240856
Bob Cousy	Q312643
Raoul Coutard	Q387323
Georges Couthon	Q270668
Randy Couture	Q352733
Edith Cowan	Q2376505
Noël Coward	Q298388
Simon Cowell	Q162629
Abraham Cowley	Q329896
William Cowper	Q315537
Brian Cox (physicist)	Q463581
Courteney Cox	Q58912
Gertrude Mary Cox	Q450290
Harold Scott MacDonald Coxeter	Q129916
George Crabbe	Q903516
Lotta Crabtree	Q4943542
Daniel Craig	Q4547
Lucas Cranach the Elder	Q191748
Hart Crane	Q380723
Stephen Crane	Q206534
Bryan Cranston	Q23547
Richard Crashaw	Q553900
Wes Craven	Q223992
Broderick Crawford	Q182349
Cindy Crawford	Q199801
Joan Crawford	Q40475
Michael Crawford	Q656035
O. G. S. Crawford	Q2032565
Bettino Craxi	Q192818
Seymour Cray	Q92765
Crazy Horse	Q44555
John Creasey	Q1699682
Creedence Clearwater Revival	Q192463
Hector-Jonathan Crémieux	Q1334216
Kimberlé Crenshaw	Q6409990
Hasdai Crescas	Q528415
Régine Crespin	Q290464
Michael Crichton	Q172140
Quentin Crisp	Q920513
Criss Angel	Q131685
Alfredo Cristiani	Q365374
Samantha Cristoforetti	Q379039
Bartolomeo Cristofori	Q301597
Benedetto Croce	Q192348
Charles Crocker	Q2958817
Davy Crockett	Q311070
Croesus	Q184462
Thomas Cromwell	Q294435
David Cronenberg	Q55422
James Cronin	Q193496
Hume Cronyn	Q395205
William Crookes	Q189552
Fanny Crosby	Q257456
Sidney Crosby	Q311280
Crosby, Stills, Nash & Young	Q10461933
Andraé Crouch	Q493028
Russell Crowe	Q129817
Bosley Crowther	Q894444
Tom Cruise	Q37079
Robert Crumb	Q435278
Huseng Sisiw	Q6294339
Juana Inés de la Cruz	Q183074
Penélope Cruz	Q39666
Billy Crystal	Q186485
David Crystal	Q471550
Mihaly Csikszentmihalyi	Q316147
Alfonso Cuarón	Q28028
Cuauhtémoc	Q297050
Teófilo Cubillas	Q311403
César Cui	Q208546
Cui Jian	Q540516
Cuitláhuac	Q315628
George Cukor	Q56014
Bill Cullen	Q2903182
Countee Cullen	Q1137066
Patrisse Cullors	Q20090524
Benedict Cumberbatch	Q244674
Anthony Cumia	Q19609603
E. E. Cummings	Q298703
Jim Cummings	Q310292
Andrew Cunanan	Q462125
Cunedda	Q2487300
Euclides da Cunha	Q470334
Tristão da Cunha	Q81116
Cunhambebe	Q5194267
Maria Cunitz	Q63232
Alexander Cunningham	Q455430
Merce Cunningham	Q318364
Ward Cunningham	Q7637
Cunobeline	Q437417
The Cure	Q484427
Frances Mary Richardson Currer	Q17353450
Ann Curry	Q966379
Stephen Curry	Q352159
John Curtin	Q23375
Edward S. Curtis	Q433128
Jamie Lee Curtis	Q106997
Tony Curtis	Q162389
Glenn Curtiss	Q454544
Quintus Curtius Rufus	Q5959
Michael Curtiz	Q51491
Harvey Cushing	Q380038
Clive Cussler	Q366266
George Armstrong Custer	Q188205
Cut Nyak Dhien	Q2183970
Dave Cutler	Q92800
Toto Cutugno	Q487473
Alexandru Ioan Cuza	Q294832
Cynewulf	Q560915
Cynisca	Q267195
Cyprian, Metropolitan of Kiev	Q118004
Louis Cyr	Q2985962
Józef Cyrankiewicz	Q434797
Cyrano de Bergerac	Q213614
Cyril of Jerusalem	Q298654
Miley Cyrus	Q4235
Carl Czerny	Q215333
György Cziffra	Q254333
Charli D'Amelio	Q83648587
Agrippa d'Aubigné	Q334950
Madame d'Aulnoy	Q260006
Lorenzo Da Ponte	Q268166
Dunama II Dibalemi	Q3038134
Kazimierz Dąbrowski	Q3108948
David Dacko	Q310860
Paul Dacre	Q7150105
Moktar Ould Daddah	Q345385
Vahakn Dadrian	Q1399635
Ali Daei	Q159622
Heungseon Daewongun	Q469432
Daft Punk	Q185828
Dafydd ap Gwilym	Q517287
Dafydd ap Llywelyn	Q1157156
Lil Dagover	Q66115
Carl Dahlhaus	Q62304
Bjørn Dæhlie	Q217505
Jeffrey Dahmer	Q298364
Ralf Dahrendorf	Q76959
Dai Zhen	Q714369
Janet Dailey	Q453231
Gottlieb Daimler	Q57098
Vladimir Dal	Q326499
5th Dalai Lama	Q25252
13th Dalai Lama	Q25238
Émile Jaques-Dalcroze	Q286062
Jim Dale	Q1689081
Gustaf Dalén	Q160518
Kenny Dalglish	Q187198
Dalida	Q539171
Dalilah (belly dancer)	Q20758287
William Dalrymple	Q955334
Timothy Dalton	Q41233
Augustin Daly	Q953458
Mary Daly	Q241392
Tyne Daly	Q255651
DAM (band)	Q921865
Léon Damas	Q983363
Pope Damasus I	Q130997
Peter Damian	Q258369
Gerard Damiano	Q380715
Father Damien	Q232785
Matt Damon	Q175535
William Dampier	Q221125
Usman dan Fodio	Q380452
Daṇḍin	Q1190757
Enrico Dandolo	Q205688
Dorothy Dandridge	Q229251
Georgiy Daneliya	Q380252
Simin Daneshvar	Q263807
D'Angelo	Q933598
Rodney Dangerfield	Q436386
Chandra Bahadur Dangi	Q2265759
Aliko Dangote	Q1394965
Arnaut Daniel	Q4344
Daniel K. Daniel	Q19957244
Jack Daniel	Q1376398
Erich von Däniken	Q122965
Gabriele D'Annunzio	Q193236
Ted Danson	Q381203
Arthur Danto	Q365129
George Dantzig	Q337040
Kamel Daoud	Q3192364
William Knox D'Arcy	Q2142803
Frédéric Dard	Q561486
Dardenne brothers	Q597609
Henry Darger	Q721013
Bobby Darin	Q311267
Rubén Darío	Q173767
Darius III	Q102865
Clarence Darrow	Q449791
Sayed Darwish	Q1208788
Mahmoud Darwish	Q207720
Purandara Dasa	Q2350157
Surendranath Dasgupta	Q2564301
Marcel Dassault	Q160802
Adolf Dassler	Q76751
Ingrid Daubechies	Q275604
Alphonse Daudet	Q228546
Honoré Daumier	Q187506
Pierre Daunou	Q178991
David I of Scotland	Q216787
David IV	Q36760
Larry David	Q23728
Nicol David	Q867189
David d'Angers	Q364498
Donald Davidson (philosopher)	Q311772
Marion Davies	Q242416
Peter Maxwell Davies	Q139223
Terence Davies	Q773523
Al Davis	Q1389376
Angela Davis	Q160456
Benjamin O. Davis Jr.	Q2896196
Clive Davis	Q1101938
Geena Davis	Q280098
Jacob W. Davis	Q1488960
Jefferson Davis	Q162269
Jim Davis (cartoonist)	Q318953
Joe Davis	Q357473
John Davis (explorer)	Q311652
Lydia Davis	Q1280035
Marguerite Davis	Q6760778
Mike Davis (scholar)	Q1933136
Ossie Davis	Q515632
Raymond Davis Jr.	Q175519
Sammy Davis Jr.	Q297816
Viola Davis	Q229181
William Morris Davis	Q315967
Emily Davison	Q254858
Clinton Davisson	Q133222
Louis-Nicolas Davout	Q158778
Anastasia Davydova	Q240381
Bruce Dawe	Q4977359
Charles G. Dawes	Q184565
Dawit II	Q558437
Richard Dawkins	Q44461
Cecil Day-Lewis	Q954383
Daniel Day-Lewis	Q166389
Dorothy Day	Q150281
Felicia Day	Q234314
Lala Deen Dayal	Q1182338
Moshe Dayan	Q188783
Dayananda Saraswati	Q224906
DC Talk	Q292960
Ileana D'Cruz	Q3629983
Fabrizio De André	Q25106
Kevin De Bruyne	Q357984
Voltairine de Cleyre	Q235361
Angel De Cora	Q4762120
Maria De Filippi	Q3290931
Alcide De Gasperi	Q153832
Aubrey de Grey	Q175969
Olivia de Havilland	Q95068
F. W. de Klerk	Q151813
Willem de Kooning	Q132305
Oscar De La Hoya	Q293534
Miguel de la Madrid	Q296691
Oscar de la Renta	Q288029
De La Soul	Q685595
Ai-Ai delas Alas	Q3548086
Bernard-René Jourdan de Launay	Q822225
Dino De Laurentiis	Q296796
Carmen de Lavallade	Q2939599
Daniel De Leon	Q931775
Agnes de Mille	Q394670
Augustus De Morgan	Q208448
Brian De Palma	Q189526
Manitas de Plata	Q1507654
Thomas De Quincey	Q317160
Andrés de Urdaneta	Q316780
Ninette de Valois	Q234436
Elsie de Wolfe	Q275469
Dead Kennedys	Q208211
Deadmau5	Q49009
Alfred Deakin	Q313805
Roger Deakins	Q460277
Dixie Dean	Q316323
James Dean	Q83359
Death (metal band)	Q192843
Angus Deaton	Q204078
Michael DeBakey	Q335003
Anastasio Somoza Debayle	Q218443
Jamel Debbouze	Q312661
Guy Debord	Q298075
Gérard Debreu	Q210960
Eugene V. Debs	Q334993
Jean-Gaspard Deburau	Q723338
Idriss Déby	Q57350
Yvonne De Carlo	Q286339
Stephen Decatur	Q720374
Mary Decker	Q238299
Étienne Decroux	Q289588
John Dee	Q201484
Ruby Dee	Q234360
James Deen	Q332641
Deep Purple	Q101505
John Deere (inventor)	Q1776475
Def Leppard	Q182890
Ellen DeGeneres	Q483325
Léon Degrelle	Q158844
Hans Georg Dehmelt	Q70532
Len Deighton	Q505274
Deioces	Q332578
Joseph Déjacque	Q2423099
Laura Dekker	Q61606
Thomas Dekker (writer)	Q336189
Vicente del Bosque	Q657360
Kate del Castillo	Q259877
Menotti Del Picchia	Q2355375
Lana Del Rey	Q37150
Dolores del Río	Q124057
Guillermo del Toro	Q219124
Robert Delaunay	Q33978
Sonia Delaunay	Q232972
Gotse Delchev	Q360160
Grazia Deledda	Q7728
Georges Delerue	Q435034
Gilles Deleuze	Q184226
Humberto Delgado	Q551999
José Matías Delgado	Q1709487
Léo Delibes	Q207951
Don DeLillo	Q310048
Guillaume Delisle	Q1389662
Michael Dell	Q218630
Piero della Francesca	Q5822
John DeLorean	Q558510
Jacques Delors	Q153425
Vanessa del Rio	Q271263
Benicio del Toro	Q193668
Ewa Demarczyk	Q443436
Demetrius I Poliorcetes	Q59734
Süleyman Demirel	Q151729
Jonathan Demme	Q48987
Jack Dempsey	Q313686
Charles Demuth	Q380494
Jacques Demy	Q312258
Den (pharaoh)	Q151822
Bob Denard	Q437248
Judi Dench	Q28054
Catherine Deneuve	Q106418
Denis of Paris	Q244380
Denis of Portugal	Q212890
Claire Denis	Q238315
Rauf Denktaş	Q200436
Daniel Dennett	Q215263
Tom Denning, Baron Denning	Q324398
Sandy Dennis	Q239691
John Denver	Q105460
Sunny Deol	Q944546
Gérard Depardieu	Q106508
Depeche Mode	Q482964
Johnny Depp	Q37175
André Derain	Q156272
Eugenio Derbez	Q3304492
Delia Derbyshire	Q29544
Vigen (entertainer)	Q2916422
Maya Deren	Q450382
Laura Dern	Q220901
Hammer DeRoburt	Q336231
Alan Dershowitz	Q183058
Gavrila Derzhavin	Q270275
John Theophilus Desaguliers	Q658008
Kiran Desai	Q228589
Manmohan Desai	Q6750648
Morarji Desai	Q218661
Girard Desargues	Q152817
Didier Deschamps	Q508711
Henri Desgrange	Q436679
Nicolas Desmarest	Q203719
Camille Desmoulins	Q249313
Robert Desnos	Q170095
Hugh Despenser the Younger	Q711383
Jean-Jacques Dessalines	Q212068
Destiny's Child	Q153056
Catherine Destivelle	Q462229
Sher Bahadur Deuba	Q470903
David Devant	Q1174216
Devapala of Bengal	Q15649142
Ajay Devgn	Q146929
Sitara Devi	Q7531682
Dewa 19	Q2295431
George Dewey	Q467093
Melvil Dewey	Q26879
Thomas E. Dewey	Q320061
Semyon Dezhnev	Q333210
Emperor Dezong of Tang	Q9755
Varun Dhawan	Q7916220
Félix d'Hérelle	Q962057
MS Dhoni	Q470774
Amr Diab	Q477461
Sergei Diaghilev	Q211513
Diamond Platnumz	Q15429574
Jared Diamond	Q205772
Neil Diamond	Q294531
Peter Diamond	Q109570
Diarmait mac Cerbaill	Q1274101
Bartolomeu Dias	Q130377
Miguel Díaz-Canel	Q1932603
Bernal Díaz del Castillo	Q315795
Gustavo Díaz Ordaz	Q315637
Cameron Diaz	Q44380
Junot Díaz	Q402664
Lav Diaz	Q129619
Genzebe Dibaba	Q457099
Tirunesh Dibaba	Q6003
Manu Dibango	Q445829
Klaus Dibiasi	Q536803
Leonardo DiCaprio	Q38111
Philip K. Dick	Q171091
Barry Dickins	Q4864171
Janice Dickinson	Q230911
Peter Dickinson	Q705074
William Kennedy Dickson	Q465350
Bo Diddley	Q208881
Didi (footballer, born 1928)	Q312486
Muhammad Fareed Didi	Q3270179
Joan Didion	Q267691
John Diefenbaker	Q128614
Carl Diem	Q71850
Anthony van Diemen	Q380415
Dorothy Dietrich	Q5298381
Sepp Dietrich	Q57175
Park Dietz	Q3896092
Jean Dieudonné	Q371957
Dignāga	Q558272
Phyllis Diller	Q230512
John Dillinger	Q243918
Wilhelm Dilthey	Q60080
Joe DiMaggio	Q297142
Pyrros Dimas	Q366824
Georgi Dimitrov	Q155074
Jamie Dimon	Q922169
Dimitar Dimov	Q712741
Rashid al-Din Hamadani	Q328782
Abu Hanifa Dinawari	Q293520
Alberto Dines	Q682556
Hrant Dink	Q110126
Peter Dinklage	Q310937
Cassius Dio	Q185223
Ronnie James Dio	Q185151
Gaius Appuleius Diocles	Q983525
Celine Dion	Q5105
Dionysius I of Syracuse	Q332750
Dionysius Exiguus	Q274091
Birago Diop	Q716541
Cheikh Anta Diop	Q521729
Christian Dior	Q159694
Hamani Diori	Q314355
Dioscorides	Q297776
Abdou Diouf	Q219728
Dire Straits	Q50040
Oskar Dirlewanger	Q58681
Roy O. Disney	Q347432
Steve Ditko	Q355652
Divine (performer)	Q357786
Dorothea Dix	Q452469
Otto Dix	Q153104
Madhuri Dixit	Q232451
George Washington Dixon	Q3101985
Jeane Dixon	Q288676
Robert M. W. Dixon	Q616447
Willie Dixon	Q204092
DJ Kool Herc	Q458787
Leila Djansi	Q6519862
Djoser	Q174367
Janus Djurhuus	Q1395326
Dmitry Donskoy	Q188995
DMX	Q223769
Alfred Döblin	Q57389
Dobrodeia of Kiev	Q4163672
James Dobson	Q955266
Theodosius Dobzhansky	Q246731
Mary Mapes Dodge	Q2518093
Samuel Doe	Q294618
Theo van Doesburg	Q160422
Kenji Doihara	Q74296
Robert Doisneau	Q154599
Sanford B. Dole	Q333691
Richard Doll	Q740803
Gerhard Domagk	Q57192
Lluís Domènech i Montaner	Q317876
Saint Dominic	Q44091
Fats Domino	Q209586
Julia Domna	Q229246
Domnall mac Ailpín	Q312589
Darya Domracheva	Q209193
Lê Quý Đôn	Q703747
Robert Donat	Q116983
Anton Donchev	Q588959
Lonnie Donegan	Q27743
Stanley Donen	Q48765
Dong Qichang	Q537211
Dong Biwu	Q968038
Dongshan Liangjie	Q2681914
Pier Gerlofs Donia	Q318344
Karl Dönitz	Q76437
Gaetano Donizetti	Q101698
Donovan	Q317427
Casey Donovan (actor)	Q719372
Landon Donovan	Q202237
William J. Donovan	Q541981
Gustave Doré	Q6682
Dorgon	Q380573
Andrea Doria	Q156521
Efua Dorkenoo	Q536397
Jack Dorsey	Q335552
Jimmy Dorsey	Q560716
Thomas A. Dorsey	Q562158
Tommy Dorsey	Q313529
John Dos Passos	Q312407
José Eduardo dos Santos	Q57313
B. V. Doshi	Q380449
Dost Mohammad of Bhopal	Q5299332
Jennifer Doudna	Q56068
Donald Wills Douglas Sr.	Q1240497
Gabby Douglas	Q233286
Kirk Douglas	Q104027
Marjory Stoneman Douglas	Q3293969
Mary Douglas	Q231349
Melvyn Douglas	Q312084
Michael Douglas	Q119798
Stephen A. Douglas	Q433174
Tommy Douglas	Q359653
William O. Douglas	Q1391996
Kenneth Dover	Q1738862
Dovima	Q447980
Alexander Dovzhenko	Q55198
John Dowland	Q207355
Robert Downey Jr.	Q165219
T. Nelson Downs	Q3525443
Downtown (comedy duo)	Q1154064
Roddy Doyle	Q73506
Dr. Dre	Q6078
Karl Drais	Q77122
Drake (musician)	Q33240
Nick Drake	Q211588
Dorothy Draper	Q5298390
John Draper	Q712546
Rahul Dravid	Q470772
Cornelis Drebbel	Q365463
Heike Drechsler	Q57243
Willem Drees	Q12769
Theodore Dreiser	Q486096
Marie Dressler	Q253282
Charles R. Drew	Q1065848
Alfred Dreyfus	Q171826
Hubert Dreyfus	Q971585
Richard Dreyfuss	Q181799
Didier Drogba	Q48892
Johann Gustav Droysen	Q60217
Carlos Drummond de Andrade	Q379745
1st Dalai Lama	Q25260
Daphne du Maurier	Q193357
Du Pont family	Q1986262
Jacqueline du Pré	Q228888
Du Mu	Q334095
Du Shi	Q712102
Du Wenxiu	Q701279
Duan Qirui	Q706172
Pumpuang Duangjan	Q6583188
José Napoleón Duarte	Q360283
The Dubliners	Q478629
Eugène Dubois	Q317176
Jean Dubuffet	Q170076
Georges Duby	Q271295
Alain Ducasse	Q187901
Duccio	Q15792
Thawan Duchanee	Q3519660
David Duchovny	Q484365
Dzhokhar Dudayev	Q179846
John Dudley, 1st Duke of Northumberland	Q347125
Pendleton Dudley	Q29030275
Robert Dudley, 1st Earl of Leicester	Q318017
Lucy, Lady Duff-Gordon	Q255184
Hilary Duff	Q122020
Carol Ann Duffy	Q237994
Esther Duflo	Q434509
Gaëtan Dugas	Q1381697
Aleksandr Dugin	Q438839
Pierre Duhem	Q314172
Charlotte Dujardin	Q272533
Jean Dujardin	Q189422
Olympia Dukakis	Q230188
Milo Đukanović	Q200305
Charles Duke	Q112284
David Duke	Q163042
Doris Duke	Q273889
James Buchanan Duke	Q2916122
Patty Duke	Q232538
Allen Dulles	Q317243
John Foster Dulles	Q223677
Alexandre Dumas fils	Q169150
Thomas-Alexandre Dumas	Q572684
Georges Dumézil	Q310590
MF Doom	Q304675
Ioana Dumitriu	Q18672622
Faye Dunaway	Q168721
Paul Laurence Dunbar	Q974678
Robert Duncan (poet)	Q964391
Tim Duncan	Q193020
Angelo Dundee	Q176288
Katherine Dunham	Q272637
Joey Dunlop	Q1358228
Clive Dunn	Q46053
Irene Dunne	Q230099
Joseph Dunninger	Q687505
Lord Dunsany	Q458658
John Dunstaple	Q215134
Armand Duplantis	Q20740797
Marie Duplessis	Q261139
Jacques-Charles Dupont de l'Eure	Q2309694
Éleuthère Irénée du Pont	Q903124
Iván Duque	Q17478000
Sixto Durán Ballén	Q177182
Duran Duran	Q58381
Roberto Durán	Q471571
Ariel Durant	Q469474
Kevin Durant	Q29545
Will Durant	Q333911
William C. Durant	Q381381
Buenaventura Durruti	Q208815
Eleonora Duse	Q275970
Slim Dusty	Q607807
Rodrigo Duterte	Q457786
Eurico Gaspar Dutra	Q296679
Rudi Dutschke	Q57218
Geeta Dutt	Q470416
Sunil Dutt	Q377903
Jean-Claude Duvalier	Q310775
Robert Duvall	Q171736
Andrea Dworkin	Q241398
Ronald Dworkin	Q319803
Jamie Dwyer	Q551528
Yanka Dyagileva	Q998702
Anthony van Dyck	Q150679
Amelia Dyer	Q660912
John Dyer	Q3397435
Steven Frayne	Q394077
Freeman Dyson	Q153717
Felix Dzerzhinsky	Q188570
Armen Dzhigarkhanyan	Q471740
Eadred	Q191767
Eadwig	Q191203
Eddie Eagan	Q318892
Eagles (band)	Q189635
Terry Eagleton	Q315349
Thomas Eakins	Q214905
Charles and Ray Eames	Q14634037
Eannatum	Q352544
Sylvia Earle	Q439046
Dale Earnhardt	Q355420
Wyatt Earp	Q44616
Earth, Wind & Fire	Q28974
Monk Eastman	Q1374201
Ashton Eaton	Q1789
Eazy-E	Q36804
Shirin Ebadi	Q131152
Hermann Ebbinghaus	Q57332
Isabelle Eberhardt	Q271903
Friedrich Ebert	Q2646
Roger Ebert	Q212173
Eça de Queiroz	Q316327
Bernie Ecclestone	Q172724
Aboul-Qacem Echebbi	Q335543
José Echegaray	Q127349
Esteban Echeverría	Q188859
Luis Echeverría	Q317681
Johann Eck	Q60298
J. Presper Eckert	Q457906
Penelope Eckert	Q7162565
Meister Eckhart	Q76548
Stefan Edberg	Q189542
Arthur Eddington	Q215022
Anthony Eden	Q128995
Barbara Eden	Q232298
Gertrude Ederle	Q263287
Edgar, King of England	Q192925
Harold Edgerton	Q475733
Edmund I	Q190166
Edogawa Ranpo	Q347412
J. Sigfrid Edström	Q1625
Edward II	Q5236
Edward IV	Q160341
Edward VI	Q83229
Edward VII	Q20875
Edward VIII	Q590227
Edward the Confessor	Q130005
Edward the Elder	Q187114
Edward the Black Prince	Q184854
Edward the Martyr	Q192920
Gareth Edwards (rugby union)	Q1381089
Jonathan Edwards (triple jumper)	Q221648
Shoghi Effendi	Q318441
Krisztina Egerszegi	Q229015
William Eggleston	Q389912
Ilya Ehrenburg	Q348497
Paul Ehrenfest	Q84227
Arnold Ehret	Q88599
Paul Ehrlich	Q57089
Paul R. Ehrlich	Q377983
Irenäus Eibl-Eibesfeldt	Q78755
Brendan Eich	Q92648
Joseph Freiherr von Eichendorff	Q77204
Adolf Eichmann	Q28085
Eight Deer Jaguar Claw	Q1189098
Samuel Eilenberg	Q535833
Billie Eilish	Q29564107
Ludovico Einaudi	Q83182
Arik Einstein	Q509660
Eisai	Q366128
Alfred Eisenstaedt	Q62081
Elizabeth Eisenstein	Q849605
Gotthold Eisenstein	Q61047
Michael Eisner	Q727953
Kanō Eitoku	Q536696
Francesc Eiximenis	Q1310633
Chico Ejiro	Q5096415
Daniel Ek	Q901670
Hakuin Ekaku	Q177059
Eva Ekeblad	Q1393227
Omotola Jalade Ekeinde	Q3511530
Gunnar Ekelöf	Q366311
Paul Ekman	Q355527
Hicham El Guerrouj	Q83905
Abd al-Rahman al-Majdoub	Q2821240
Abdel Fattah el-Sisi	Q307871
Elagabalus	Q1762
Idris Elba	Q342604
Mohamed ElBaradei	Q133308
Lili Elbe	Q1140735
Juan Sebastián Elcano	Q201510
Electric Light Orchestra	Q218255
Danny Elfman	Q193338
Mircea Eliade	Q41590
Norbert Elias	Q75812
Olafur Eliasson	Q365691
Gertrude B. Elion	Q35703
Empress Elisabeth of Austria	Q150782
A. P. Elkin	Q366014
Elizabeth F. Ellet	Q2568715
Charlotte Elliott	Q4946512
Jane Elliott	Q6152188
Bret Easton Ellis	Q241583
Havelock Ellis	Q552983
Warren Ellis	Q540787
William Webb Ellis	Q319318
Harlan Ellison	Q311253
Larry Ellison	Q92759
Ralph Ellison	Q299965
James Ellroy	Q318487
Daniel Ellsberg	Q431085
Mischa Elman	Q1391355
Arpad Elo	Q326557
Ernie Els	Q440171
Fanny Elssler	Q435304
Paul Éluard	Q152176
Paul Elvstrøm	Q50893
John Elway	Q432931
Odysseas Elytis	Q160478
Buchi Emecheta	Q461675
Fedor Emelianenko	Q205953
Roy Emerson	Q312545
Tracey Emin	Q241185
Dan Emmett	Q3602423
Empedocles	Q83375
Daoguang Emperor	Q334351
Tongzhi Emperor	Q318811
Yongzheng Emperor	Q317839
Zhengde Emperor	Q10007
Emperor Yingzong of Ming	Q9983
Guillermo Endara	Q443831
Michael Ende	Q76498
Shūsaku Endō	Q316217
Friedrich Engelhorn	Q86159
Robert F. Engle	Q295653
François Englert	Q151746
Robert Englund	Q310389
Enmerkar	Q351543
Jessica Ennis-Hill	Q6091
Ennius	Q47130
Anne Enright	Q73176
Nick Enright	Q3339739
Eve Ensler	Q2086841
James Ensor	Q158840
Ezzatolah Entezami	Q360665
Ben Enwonwu	Q4885605
Enya	Q38257
Chevalière d'Éon	Q715027
Loránd Eötvös	Q323260
Epaminondas	Q190436
Ephrem the Syrian	Q200608
Nora Ephron	Q214677
Epicharmus of Cos	Q312410
Epictetus	Q183144
Brian Epstein	Q203690
Jeffrey Epstein	Q2904131
Olaudah Equiano	Q379887
Eraserheads	Q5384910
Paul Erdős	Q173746
Louise Erdrich	Q442679
Ludwig Erhard	Q2496
Eric B. & Rakim	Q1351122
Eric Harris and Dylan Klebold	Q2268542
Erik of Pomerania	Q161958
Víctor Erice	Q719434
Milton H. Erickson	Q311247
Erik the Red	Q172345
John Scotus Eriugena	Q184500
Tage Erlander	Q53707
Ermanaric	Q28987
Hussain Muhammad Ershad	Q461816
Ahmet Ertegun	Q352760
Julius Erving	Q209921
Leo Esaki	Q179852
Jaime Escalante	Q148714
Marisol Escobar	Q438248
Auguste Escoffier	Q313744
Justus Esiri	Q15992949
Robert Esnault-Pelterie	Q20894
Eugenio Espejo	Q981513
Caldwell Esselstyn	Q1026509
Gloria Estefan	Q184697
Ferdinand Walsin Esterhazy	Q379463
Manuel Estiarte	Q962176
Manuel Estrada Cabrera	Q879169
Tomás Estrada Palma	Q322173
Parvin E'tesami	Q271254
Samuel Eto'o	Q1255625
Robert Ettinger	Q714044
William Etty	Q766362
Rudolf Christoph Eucken	Q47695
Eudoxus of Cnidus	Q185150
Pope Eugene III	Q167610
Jeffrey Eugenides	Q357108
Ŭlchi Mundŏk	Q702878
Eumenes	Q297366
James Reese Europe	Q1280917
Eurydice II of Macedon	Q292317
Laurence Eusden	Q2127471
Eusébio	Q162043
Jean Eustache	Q966198
Linda Evangelista	Q192171
E. E. Evans-Pritchard	Q150379
Arthur Evans	Q188929
Bill Evans	Q208205
Edith Evans	Q236718
Hiram Wesley Evans	Q3656068
Richard J. Evans	Q607427
Robert Evans	Q1826885
Ronald Evans (astronaut)	Q313543
Walker Evans	Q363308
Bernardine Evaristo	Q4893827
George Everest	Q217119
Hugh Everett III	Q370046
The Everly Brothers	Q690138
Medgar Evers	Q717985
Chris Evert	Q14286
Evliya Çelebi	Q202308
Julius Evola	Q334147
Cesária Évora	Q103759
Maurice Ewing	Q1561583
Exile (Japanese band)	Q655239
Exo	Q494717
Gnassingbé Eyadéma	Q155385
Hans Eysenck	Q58632
Ezana of Axum	Q379898
IJustine	Q2372674
Peter Faber	Q454814
Sandra Faber	Q266972
Peter Carl Fabergé	Q189762
Lara Fabian	Q192655
Quintus Fabius Maximus Verrucosus	Q274545
Quintus Fabius Pictor	Q313500
Gentile da Fabriano	Q312393
Hieronymus Fabricius	Q435296
Johan Christian Fabricius	Q156205
The Fabulous Moolah	Q256279
Albert Facey	Q2637872
Max Factor Sr.	Q868560
Alexander Fadeyev (writer)	Q60128
Ahmad ibn Fadlan	Q200947
